,Unnamed: 0,Cod_Personal,SpanishC,Resources,Spanish Comprehension Effect,Family Resources Effect
183,183,D457JIH,-0.5232453564724414,0.0384952238693376,-0.32883616408546257,0.29854758373797946
184,184,D476IVM,0.4209553817201403,1.1133460843075005,0.26455151730194715,0.39111888729003974
185,185,D529XBT,-0.8024007728883976,1.2907774531005551,-0.5042727832210168,0.4342695837583191
186,186,D635JLS,-1.0720268328478662,0.475817997544137,-0.6737206305794448,0.39086131121083123
187,187,D740VRW,0.1989112282221727,-0.3660299437224413,0.12500675729465793,0.2741986132973667
188,188,D855WRS,-0.6124030580316042,-0.043872827652118,-0.3848677680294446,0.2988761772035817
189,189,D891YDD,0.2789384107095323,-0.2356979063261862,0.17530024081283735,0.3186271626268114
190,190,D940VCX,0.48813750966684,1.113226411885098,0.3067724619808036,0.2797940711007213
191,191,D984ZKR,0.302386007085323,-0.4416448774382056,0.19003600015377153,0.27414991452931564
192,192,D994AAD,-0.403061576378933,-0.2266542611940102,-0.2533060657436885,0.33475973592811187
193,193,E338WAC,0.679947207487381,0.2681041377372032,0.42731622693826754,0.35393194329110544
194,194,E733PVD,-0.3564114858368625,0.9494560557239764,-0.22398858277257705,0.24578055840763302
195,195,E780RIE,-0.1551089969758607,-0.5210893809302242,-0.0974790257567666,0.263319025914167
196,196,E859NPA,0.3960544751397386,-0.2730502326334131,0.2489024178864208,0.2887343631890305
197,197,E898UDI,-0.3756967825893033,0.0483656876286264,-0.23610852407521232,0.33143079112692175
198,198,E957JRE,-1.4345169530680193,0.8744408024726766,-0.9015293615650039,0.4213608614215635
199,199,C021YHF,0.3759545653376883,-0.4591101853925732,0.2362705289341141,0.2572573669538214
200,200,C061WJN,0.014834258154955,0.7060146298473524,0.009322663810368306,0.33895122501159297
201,201,C158XNN,-0.5861371588642058,0.8160496616319434,-0.3683608321883088,0.3535576793831681
202,202,C194QFY,-0.1454525901402073,0.8716939059057972,-0.09141040853273177,0.35230079911584344
203,203,C282XGJ,-0.3307781600543318,0.9617730272072668,-0.20787919084236062,0.3587838164480284
204,204,C285MFC,0.839529551307053,0.9730134016807154,0.5276065499163983,0.3596895073440938
